	ID	Identifier	Title	ApiUrl	RecordCount	ColumnCount
4922	4922	82671ENG	Tourist expenditure; NA, 2010-2016	https://opendata.cbs.nl/ODataApi/OData/82671ENG	7	15
4923	4923	82304ENG	Tourist expenditure 2005 - 2012	https://opendata.cbs.nl/ODataApi/OData/82304ENG	8	15
4924	4924	7101eng	Art education for amateurs; teaching hours 1993-2007	https://opendata.cbs.nl/ODataApi/OData/7101eng	72	22
4925	4925	37881eng	Daily time use	https://opendata.cbs.nl/ODataApi/OData/37881eng	72	85
4926	4926	83804ENG	Dutch Online Library; use, accounts and licenses 2015 - 2019	https://opendata.cbs.nl/ODataApi/OData/83804ENG	5	76
4927	4927	70220eng	Daytrips by characteristics; 90/91-06/07	https://opendata.cbs.nl/ODataApi/OData/70220eng	276	106
4928	4928	60029eng	Leisure activities 1997-2011	https://opendata.cbs.nl/ODataApi/OData/60029eng	795	66
4929	4929	60027eng	Participation in social activities, 1997-2011	https://opendata.cbs.nl/ODataApi/OData/60027eng	780	104
4930	4930	70631eng	Young people (12-29 yrs) and families, 2003	https://opendata.cbs.nl/ODataApi/OData/70631eng	54	66
4931	4931	7116eng	Savings 1991-2017	https://opendata.cbs.nl/ODataApi/OData/7116eng	324	59
4932	4932	82219ENG	Overdrafts on current accounts 2010-2017	https://opendata.cbs.nl/ODataApi/OData/82219ENG	91	2
4933	4933	7462eng	Overdrafts on current accounts 1970 - 2013	https://opendata.cbs.nl/ODataApi/OData/7462eng	269	3
4934	4934	82873ENG	Environmental and ec. key figures; national accounts, 2001-2013	https://opendata.cbs.nl/ODataApi/OData/82873ENG	520	22
4935	4935	81395ENG	Emissions to air, origin and destination; national accounts 1990-2013	https://opendata.cbs.nl/ODataApi/OData/81395ENG	1728	15
4936	4936	82805ENG	Environm. goods and services sector; activities, ec. indicators, 2001-2012	https://opendata.cbs.nl/ODataApi/OData/82805ENG	648	6
4937	4937	82804ENG	Environm. goods and services sector; industries, ec.indicators, 2001-2012	https://opendata.cbs.nl/ODataApi/OData/82804ENG	612	6
4938	4938	82955ENG	Environmental accounts; emissions to water, origin destination 1995-2012	https://opendata.cbs.nl/ODataApi/OData/82955ENG	414	14
4939	4939	81384ENG	Environmental accounts; emissions to water, origin-destination 1995-2010	https://opendata.cbs.nl/ODataApi/OData/81384ENG	1104	14
4940	4940	83605ENG	Environmental accounts; emissions to water 1995 to 2014	https://opendata.cbs.nl/ODataApi/OData/83605ENG	420	14
4941	4941	82238ENG	Environmental accounts; energy use by companies & households 1995 - 2013	https://opendata.cbs.nl/ODataApi/OData/82238ENG	1026	15
4942	4942	81343ENG	Environmental accounts; origin and destination, waste, 1990-2010	https://opendata.cbs.nl/ODataApi/OData/81343ENG	8883	13
4943	4943	81398ENG	Environmental accounts; water use and abstraction 2003 - 2011	https://opendata.cbs.nl/ODataApi/OData/81398ENG	567	7
4944	4944	81409eng	Environmental and economic key figures 1995-2012	https://opendata.cbs.nl/ODataApi/OData/81409eng	792	20
4945	4945	71585eng	Environmental and economical key figures; NAMEA	https://opendata.cbs.nl/ODataApi/OData/71585eng	462	16
4946	4946	82264ENG	Environmental goods and services sector; activities, 1995 - 2011	https://opendata.cbs.nl/ODataApi/OData/82264ENG	918	6
4947	4947	81400ENG	Environmental goods and services sector; activities, 1995-2010	https://opendata.cbs.nl/ODataApi/OData/81400ENG	2880	6
4948	4948	82273ENG	Environmental Goods and Services Sector; industries, 1995 - 2011	https://opendata.cbs.nl/ODataApi/OData/82273ENG	867	6
4949	4949	81385ENG	Environmental Goods and Services Sector; NACE 1995-2010	https://opendata.cbs.nl/ODataApi/OData/81385ENG	2720	6
4950	4950	81383ENG	Environmental taxes and fees; revenues by taxpayer 1987-2012	https://opendata.cbs.nl/ODataApi/OData/81383ENG	1586	22
4951	4951	80601ENG	Extraction, import and export materials by kind, nat. accounts 1996-2012	https://opendata.cbs.nl/ODataApi/OData/80601ENG	17	257
4952	4952	83128ENG	Waste balance, key figures; national accounts, 1990-2012	https://opendata.cbs.nl/ODataApi/OData/83128ENG	108	3
4953	4953	83126ENG	Waste balance, kind of waste per sector; national accounts, 2008-2012	https://opendata.cbs.nl/ODataApi/OData/83126ENG	141	19
4954	4954	83069ENG	Consumption by type of goods and services; NA, 1969-2016	https://opendata.cbs.nl/ODataApi/OData/83069ENG	48	265
4955	4955	83071ENG	Consumption expenditure by purpose; NA, 1969-2016	https://opendata.cbs.nl/ODataApi/OData/83071ENG	48	233
4956	4956	83088ENG	Exports of goods and services by origin; NA, 1995-2016	https://opendata.cbs.nl/ODataApi/OData/83088ENG	2794	14
4957	4957	82572ENG	Output and income components of GDP; activities, NA, 1969-2016 	https://opendata.cbs.nl/ODataApi/OData/82572ENG	5952	24
4958	4958	82599ENG	Gross fixed capital formation by destination; NA, 1969-2016	https://opendata.cbs.nl/ODataApi/OData/82599ENG	5952	6
4959	4959	82600ENG	Gross fixed capital formation by type and by sector; NA, 1969-2016	https://opendata.cbs.nl/ODataApi/OData/82600ENG	144	94
4960	4960	82604ENG	Gross fixed capital formation in tangible assets; changes; 2005-2018	https://opendata.cbs.nl/ODataApi/OData/82604ENG	163	2
4961	4961	83087ENG	Imports of goods and services by destination; NA, 1995-2016	https://opendata.cbs.nl/ODataApi/OData/83087ENG	2926	14
4962	4962	83068ENG	Supply and use; products of activity, NA, 1995-2016	https://opendata.cbs.nl/ODataApi/OData/83068ENG	3190	62
4963	4963	82262ENG	Approaches of domestic product (GDP); NA, 1969-2016	https://opendata.cbs.nl/ODataApi/OData/82262ENG	48	189
4964	4964	84089ENG	Contribution to volume growth of GDP; National Accounts, 2016-2018	https://opendata.cbs.nl/ODataApi/OData/84089ENG	3	11
4965	4965	82239ENG	Contribution final expenditure to volume growth of GDP; NA, 1995-2016	https://opendata.cbs.nl/ODataApi/OData/82239ENG	22	11
4966	4966	82602ENG	GDP, output and expenditures; changes, QNA, 1995-2017	https://opendata.cbs.nl/ODataApi/OData/82602ENG	580	215
4967	4967	82601ENG	GDP, output and expenditures; value, QNA, 1995-2017	https://opendata.cbs.nl/ODataApi/OData/82601ENG	464	212
4968	4968	81119eng	GDP, production and expenditures; output and income by activity 1969 - 2012	https://opendata.cbs.nl/ODataApi/OData/81119eng	5456	23
4969	4969	81171eng	Quarterly National Accounts; changes 1988 - q1 2014	https://opendata.cbs.nl/ODataApi/OData/81171eng	655	211
4970	4970	81170eng	Quarterly National Accounts; values 1988- Q1 2014	https://opendata.cbs.nl/ODataApi/OData/81170eng	524	208
4971	4971	71541eng	Regional accounts; key figures 1995-2011	https://opendata.cbs.nl/ODataApi/OData/71541eng	1309	8
4972	4972	82801ENG	Regional key figures; national accounts 2010-2016	https://opendata.cbs.nl/ODataApi/OData/82801ENG	539	17
4973	4973	81356eng	Regional accounts; economic growth 2008-2013	https://opendata.cbs.nl/ODataApi/OData/81356eng	462	18
4974	4974	82800ENG	Economic growth, GDP and value added by region; national accounts 1996-2017	https://opendata.cbs.nl/ODataApi/OData/82800ENG	25410	5
4975	4975	37054ENG	Economic totals per region, 2001-2004	https://opendata.cbs.nl/ODataApi/OData/37054ENG	308	12
4976	4976	71154ENG	Economic totals per region, 1995-2001	https://opendata.cbs.nl/ODataApi/OData/71154ENG	539	12
4977	4977	70090ENG	Economic totals per region SIC 1993	https://opendata.cbs.nl/ODataApi/OData/70090ENG	34560	5
4978	4978	82934ENG	Fixed capital formation by industry, region; national accounts 1995-2015	https://opendata.cbs.nl/ODataApi/OData/82934ENG	24255	4
4979	4979	71105eng	Fixed capital formation by region 1995-2001	https://opendata.cbs.nl/ODataApi/OData/71105eng	539	21
4980	4980	82935ENG	Fixed capital formation by type of capital good;national accounts 1995-2015	https://opendata.cbs.nl/ODataApi/OData/82935ENG	1617	13
4981	4981	82936ENG	Income accounts  sector households, region; national accounts 1995-2015	https://opendata.cbs.nl/ODataApi/OData/82936ENG	357	26
4982	4982	82797ENG	Production process, economic activity, region; national accounts 1995-2015	https://opendata.cbs.nl/ODataApi/OData/82797ENG	43659	12
4983	4983	71542eng	Regional accounts; economic growth	https://opendata.cbs.nl/ODataApi/OData/71542eng	1155	17
4984	4984	37925eng	Regional accounts; fixed capital formation	https://opendata.cbs.nl/ODataApi/OData/37925eng	1078	21
